Date : 2024-03-14 12:16:37
Directory : h:\inde\JakSurveillance
Total : 200 files,  19803 codes, 4186 comments, 1649 blanks, all 25638 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| h:\inde\JakSurveillance\frontend\build-date.cjs                                                       | JavaScript     |         25 |          4 |          6 |         35 |
| h:\inde\JakSurveillance\frontend\index.html                                                           | HTML           |         37 |          0 |          3 |         40 |
| h:\inde\JakSurveillance\frontend\package.json                                                         | JSON           |         71 |          0 |          1 |         72 |
| h:\inde\JakSurveillance\frontend\postcss.config.js                                                    | JavaScript     |          6 |          0 |          1 |          7 |
| h:\inde\JakSurveillance\frontend\src\App.tsx                                                          | TypeScript JSX |         32 |          6 |          5 |         43 |
| h:\inde\JakSurveillance\frontend\src\components\Logo.tsx                                              | TypeScript JSX |         19 |          9 |          3 |         31 |
| h:\inde\JakSurveillance\frontend\src\components\main\ErrorAlert.tsx                                   | TypeScript JSX |         43 |         16 |          4 |         63 |
| h:\inde\JakSurveillance\frontend\src\components\main\MovingLogo.tsx                                   | TypeScript JSX |          9 |          0 |          3 |         12 |
| h:\inde\JakSurveillance\frontend\src\components\main\NewStudentUser.tsx                               | TypeScript JSX |        245 |          5 |         26 |        276 |
| h:\inde\JakSurveillance\frontend\src\components\main\ServerStatus.tsx                                 | TypeScript JSX |         73 |         33 |          6 |        112 |
| h:\inde\JakSurveillance\frontend\src\components\main\SuccessAlert.tsx                                 | TypeScript JSX |         30 |         16 |          2 |         48 |
| h:\inde\JakSurveillance\frontend\src\components\main\admin\AdminLogsTable.tsx                         | TypeScript JSX |         87 |          0 |          4 |         91 |
| h:\inde\JakSurveillance\frontend\src\components\main\admin\EditUserView.tsx                           | TypeScript JSX |        289 |         35 |         24 |        348 |
| h:\inde\JakSurveillance\frontend\src\components\main\admin\LecturesByDayChart.tsx                     | TypeScript JSX |         78 |          0 |          7 |         85 |
| h:\inde\JakSurveillance\frontend\src\components\main\background\BackgroundContainer.tsx               | TypeScript JSX |         38 |          9 |          5 |         52 |
| h:\inde\JakSurveillance\frontend\src\components\main\buttons\GeneralLinkButton.tsx                    | TypeScript JSX |         18 |          6 |          2 |         26 |
| h:\inde\JakSurveillance\frontend\src\components\main\buttons\NavigationButton.tsx                     | TypeScript JSX |         22 |          7 |          4 |         33 |
| h:\inde\JakSurveillance\frontend\src\components\main\buttons\StartViewButton.tsx                      | TypeScript JSX |         14 |          3 |          3 |         20 |
| h:\inde\JakSurveillance\frontend\src\components\main\buttons\StepButton.tsx                           | TypeScript JSX |         27 |          7 |          2 |         36 |
| h:\inde\JakSurveillance\frontend\src\components\main\cards\Card.tsx                                   | TypeScript JSX |         29 |          9 |          3 |         41 |
| h:\inde\JakSurveillance\frontend\src\components\main\cards\FeedbackCard.tsx                           | TypeScript JSX |         15 |          0 |          4 |         19 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\CourseData.tsx                            | TypeScript JSX |        196 |         27 |         14 |        237 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\CreateCourseCustom.tsx                    | TypeScript JSX |        178 |         60 |          7 |        245 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\CreateCourseEasy.tsx                      | TypeScript JSX |        293 |         21 |         20 |        334 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\StudentCourseGrid.tsx                     | TypeScript JSX |        390 |         37 |         17 |        444 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\attendance\AttendanceStatsTable.tsx       | TypeScript JSX |        208 |         25 |         12 |        245 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\attendance\AttendanceTable.tsx            | TypeScript JSX |        164 |         19 |         11 |        194 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\attendance\Attendees.tsx                  | TypeScript JSX |         51 |          9 |          3 |         63 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\attendance\CheckOpenLectures.tsx          | TypeScript JSX |         47 |          0 |          7 |         54 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\attendance\CourseStudents.tsx             | TypeScript JSX |        189 |         49 |         19 |        257 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\createcourse\AddTeachers.tsx              | TypeScript JSX |         85 |         14 |         10 |        109 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\createcourse\CourseDetails.tsx            | TypeScript JSX |        117 |         12 |          8 |        137 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\createcourse\CreateCourseProgress.tsx     | TypeScript JSX |         37 |         11 |          3 |         51 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\createcourse\StepButtons.tsx              | TypeScript JSX |         43 |         12 |          2 |         57 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\createcourse\StudentList.tsx              | TypeScript JSX |        224 |         16 |          6 |        246 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\createcourse\TopicsGroupAndTopics.tsx     | TypeScript JSX |        359 |         44 |         15 |        418 |
| h:\inde\JakSurveillance\frontend\src\components\main\course\createcourse\coursedetails\InputField.tsx | TypeScript JSX |         38 |          9 |          2 |         49 |
| h:\inde\JakSurveillance\frontend\src\components\main\dropdown\VideoDropdown.tsx                       | TypeScript JSX |         52 |         15 |          4 |         71 |
| h:\inde\JakSurveillance\frontend\src\components\main\modals\AttendanceInstructions.tsx                | TypeScript JSX |         66 |          0 |          5 |         71 |
| h:\inde\JakSurveillance\frontend\src\components\main\modals\ConfirmDialog.tsx                         | TypeScript JSX |         61 |          0 |          6 |         67 |
| h:\inde\JakSurveillance\frontend\src\components\main\modals\DeleteLectureModal.tsx                    | TypeScript JSX |         96 |         17 |          5 |        118 |
| h:\inde\JakSurveillance\frontend\src\components\main\modals\DeleteModal.tsx                           | TypeScript JSX |         60 |         15 |          3 |         78 |
| h:\inde\JakSurveillance\frontend\src\components\main\modals\EditTopicsModal.tsx                       | TypeScript JSX |        120 |         16 |          3 |        139 |
| h:\inde\JakSurveillance\frontend\src\components\main\modals\WelcomeModal.tsx                          | TypeScript JSX |         34 |         11 |          5 |         50 |
| h:\inde\JakSurveillance\frontend\src\components\main\newUser\CourseSelect.tsx                         | TypeScript JSX |         41 |          1 |          5 |         47 |
| h:\inde\JakSurveillance\frontend\src\components\main\newUser\FormInput.tsx                            | TypeScript JSX |         24 |          0 |          4 |         28 |
| h:\inde\JakSurveillance\frontend\src\components\main\newUser\StudentGroupSelect.tsx                   | TypeScript JSX |         36 |          1 |          3 |         40 |
| h:\inde\JakSurveillance\frontend\src\components\main\newUser\SubmitButton.tsx                         | TypeScript JSX |         18 |          0 |          4 |         22 |
| h:\inde\JakSurveillance\frontend\src\components\main\titles\MainViewTitle.tsx                         | TypeScript JSX |         12 |         13 |          4 |         29 |
| h:\inde\JakSurveillance\frontend\src\components\profiles\ProfileInfo.tsx                              | TypeScript JSX |        130 |         27 |         10 |        167 |
| h:\inde\JakSurveillance\frontend\src\contexts\UserContext.tsx                                         | TypeScript JSX |         41 |         25 |          3 |         69 |
| h:\inde\JakSurveillance\frontend\src\css\index.css                                                    | CSS            |         29 |          0 |          5 |         34 |
| h:\inde\JakSurveillance\frontend\src\css\logo.css                                                     | CSS            |         67 |          0 |         11 |         78 |
| h:\inde\JakSurveillance\frontend\src\hooks\ApiHooks.ts                                                | TypeScript     |      1,006 |         13 |         51 |      1,070 |
| h:\inde\JakSurveillance\frontend\src\hooks\courseHooks.ts                                             | TypeScript     |         36 |         15 |          3 |         54 |
| h:\inde\JakSurveillance\frontend\src\main.tsx                                                         | TypeScript JSX |          9 |          7 |          2 |         18 |
| h:\inde\JakSurveillance\frontend\src\routes\AdminRoutes.tsx                                           | TypeScript JSX |         30 |          9 |          2 |         41 |
| h:\inde\JakSurveillance\frontend\src\routes\AllRoutes.tsx                                             | TypeScript JSX |         36 |          1 |          6 |         43 |
| h:\inde\JakSurveillance\frontend\src\routes\CounselorRoutes.tsx                                       | TypeScript JSX |         26 |          9 |          3 |         38 |
| h:\inde\JakSurveillance\frontend\src\routes\StudentRoutes.tsx                                         | TypeScript JSX |         31 |          9 |          4 |         44 |
| h:\inde\JakSurveillance\frontend\src\routes\TeacherRoutes.tsx                                         | TypeScript JSX |         30 |          9 |          5 |         44 |
| h:\inde\JakSurveillance\frontend\src\routes\admin\AdminCourseRoutes.tsx                               | TypeScript JSX |         17 |          9 |          2 |         28 |
| h:\inde\JakSurveillance\frontend\src\routes\admin\AdminLectureRoutes.tsx                              | TypeScript JSX |         15 |          0 |          3 |         18 |
| h:\inde\JakSurveillance\frontend\src\routes\admin\AdminSettingsRoutes.tsx                             | TypeScript JSX |         13 |          9 |          2 |         24 |
| h:\inde\JakSurveillance\frontend\src\routes\admin\AdminUserRoutes.tsx                                 | TypeScript JSX |         15 |          9 |          2 |         26 |
| h:\inde\JakSurveillance\frontend\src\routes\counselor\CounselorStudentRoutes.tsx                      | TypeScript JSX |         22 |          9 |          2 |         33 |
| h:\inde\JakSurveillance\frontend\src\routes\teacher\TeacherAttendanceRoutes.tsx                       | TypeScript JSX |         17 |          9 |          2 |         28 |
| h:\inde\JakSurveillance\frontend\src\routes\teacher\TeacherCoursesRoutes.tsx                          | TypeScript JSX |         23 |          9 |          2 |         34 |
| h:\inde\JakSurveillance\frontend\src\routes\teacher\TeacherStudentsRoutes.tsx                         | TypeScript JSX |         22 |         10 |          2 |         34 |
| h:\inde\JakSurveillance\frontend\src\routes\teacher\create\TeacherCreateCourseRoutes.tsx              | TypeScript JSX |         17 |          9 |          2 |         28 |
| h:\inde\JakSurveillance\frontend\src\utils\exportData.tsx                                             | TypeScript JSX |        232 |         57 |         21 |        310 |
| h:\inde\JakSurveillance\frontend\src\views\Footer.tsx                                                 | TypeScript JSX |         34 |         19 |          8 |         61 |
| h:\inde\JakSurveillance\frontend\src\views\Header.tsx                                                 | TypeScript JSX |         75 |         22 |         13 |        110 |
| h:\inde\JakSurveillance\frontend\src\views\Logout.tsx                                                 | TypeScript JSX |         26 |         35 |         10 |         71 |
| h:\inde\JakSurveillance\frontend\src\views\main\Feedback.tsx                                          | TypeScript JSX |        111 |          1 |          5 |        117 |
| h:\inde\JakSurveillance\frontend\src\views\main\Gdpr.tsx                                              | TypeScript JSX |        172 |         17 |          4 |        193 |
| h:\inde\JakSurveillance\frontend\src\views\main\Login.tsx                                             | TypeScript JSX |        114 |         16 |          6 |        136 |
| h:\inde\JakSurveillance\frontend\src\views\main\StartView.tsx                                         | TypeScript JSX |         16 |          8 |          3 |         27 |
| h:\inde\JakSurveillance\frontend\src\views\main\Team.tsx                                              | TypeScript JSX |         15 |          0 |          3 |         18 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminCourses.tsx                                | TypeScript JSX |        149 |         25 |          9 |        183 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminDashboard.tsx                              | TypeScript JSX |         93 |          0 |          6 |         99 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminErrorLogs.tsx                              | TypeScript JSX |         70 |          3 |         11 |         84 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminFeedback.tsx                               | TypeScript JSX |        178 |          0 |          4 |        182 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminGuide.tsx                                  | TypeScript JSX |         35 |          0 |          3 |         38 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminLectures.tsx                               | TypeScript JSX |        400 |          7 |         21 |        428 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminLogs.tsx                                   | TypeScript JSX |         68 |          3 |         11 |         82 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminMainView.tsx                               | TypeScript JSX |         55 |          8 |          3 |         66 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminNewUser.tsx                                | TypeScript JSX |        256 |          9 |         24 |        289 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminProfile.tsx                                | TypeScript JSX |         18 |         19 |          3 |         40 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminSettings.tsx                               | TypeScript JSX |        169 |          8 |          9 |        186 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminStats.tsx                                  | TypeScript JSX |        213 |          1 |         20 |        234 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\AdminUsers.tsx                                  | TypeScript JSX |        134 |         13 |          6 |        153 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\Courses\AdminCourseDetail.tsx                   | TypeScript JSX |        166 |         20 |         17 |        203 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\Courses\AdminCourseModify.tsx                   | TypeScript JSX |        208 |         14 |         12 |        234 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\Lectures\AdminLectureDetail.tsx                 | TypeScript JSX |        188 |          2 |          8 |        198 |
| h:\inde\JakSurveillance\frontend\src\views\main\admin\Users\AdminUserModify.tsx                       | TypeScript JSX |         57 |         64 |          5 |        126 |
| h:\inde\JakSurveillance\frontend\src\views\main\counselor\CounselorCourseStats.tsx                    | TypeScript JSX |          6 |          0 |          2 |          8 |
| h:\inde\JakSurveillance\frontend\src\views\main\counselor\CounselorHelpVideos.tsx                     | TypeScript JSX |         34 |         47 |          4 |         85 |
| h:\inde\JakSurveillance\frontend\src\views\main\counselor\CounselorMainView.tsx                       | TypeScript JSX |         35 |          8 |          3 |         46 |
| h:\inde\JakSurveillance\frontend\src\views\main\counselor\CounselorProfile.tsx                        | TypeScript JSX |         20 |         23 |          3 |         46 |
| h:\inde\JakSurveillance\frontend\src\views\main\counselor\students\CounselorLateEnrollment.tsx        | TypeScript JSX |         10 |          0 |          3 |         13 |
| h:\inde\JakSurveillance\frontend\src\views\main\counselor\students\CounselorStudentAttendances.tsx    | TypeScript JSX |          6 |          0 |          2 |          8 |
